time,ax,ay,az,at
0.934,0.0794,0.0128,0.118,0.143
0.939,0.0905,0.0484,0.1122,0.152
0.945,0.0922,0.0576,0.0875,0.14
0.949,0.1129,0.0547,0.0536,0.136
0.954,0.1263,0.0898,0.027,0.157
0.959,0.1348,0.0939,-0.0065,0.164
0.965,0.1383,0.1147,-0.0492,0.186
0.969,0.1534,0.1116,-0.0537,0.197
0.974,0.1681,0.1205,-0.0393,0.211
0.98,0.1682,0.1245,-0.0154,0.21
0.985,0.1755,0.1046,0.0201,0.205
0.99,0.1803,0.0966,0.0364,0.208
0.995,0.1635,0.1147,0.055,0.207
1,0.1682,0.1016,0.064,0.207
1.005,0.1351,0.0982,0.0776,0.184
1.01,0.1449,0.0804,0.0556,0.175
1.015,0.1358,0.0961,0.0646,0.178
1.02,0.1268,0.0711,0.0642,0.159
1.025,0.1228,0.0628,0.0709,0.155
1.031,0.0998,0.0498,0.0586,0.126
1.036,0.1054,0.0486,0.0749,0.138
1.041,0.1181,0.0307,0.0626,0.137
1.048,0.1355,0.039,0.0553,0.151
1.051,0.1433,0.0636,0.0457,0.163
1.056,0.137,0.0667,0.041,0.158
1.061,0.1474,0.0578,0.0244,0.16
1.066,0.1554,0.0609,0.0199,0.168
1.071,0.1517,0.0476,-0.0084,0.159
1.077,0.1362,0.0414,-0.0056,0.143
1.081,0.1304,0.0189,-0.0075,0.132
1.086,0.1249,0.0084,-0.0119,0.126
1.091,0.1075,0.0075,-0.0019,0.108
1.096,0.0807,0.0113,0.0033,0.082
1.102,0.0685,-0.0064,0.0037,0.069
1.106,0.054,-0.0287,0.0136,0.063
1.111,0.0374,-0.0508,0.0211,0.067
1.117,0.0066,-0.0702,-0.0048,0.071
1.121,-0.0124,-0.0728,-0.0116,0.075
1.128,-0.0266,-0.0588,-0.0183,0.067
1.132,-0.0434,-0.0734,-0.006,0.086
1.137,-0.0507,-0.05,0.0181,0.073
1.142,-0.0579,-0.0601,0.0444,0.095
1.147,-0.0533,-0.0703,0.0586,0.106
1.152,-0.058,-0.0592,0.1013,0.131
1.159,-0.0291,-0.053,0.0773,0.098
1.163,-0.0433,-0.0517,0.0749,0.101
1.167,-0.0288,-0.0291,0.0487,0.064
1.172,-0.0146,-0.009,0.0299,0.034
1.179,-0.0266,-0.0059,0.0279,0.039
1.183,-0.0127,-0.0123,0.0235,0.029
1.187,-0.0109,-0.0283,0.0145,0.034
1.194,-0.0283,-0.0181,0.0079,0.035
1.199,-0.0029,-0.0508,0.0203,0.055
1.203,-0.0064,-0.0738,0.0303,0.08
1.208,-0.005,-0.0853,0.0712,0.111
1.213,-0.0057,-0.0992,0.0883,0.133
1.22,-0.0202,-0.1205,0.0959,0.155
1.223,-0.0035,-0.1275,0.037,0.133
